Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,CV Accuracy (mean),CV Accuracy (std)
Logistic Regression,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878,0.872463768115942,0.8230670737712991,0.026606644480067273
Support Vector Machine,0.8379888268156425,0.8125,0.7536231884057971,0.7819548872180451,0.8422924901185771,0.8230473751600513,0.014848964203238404
Gradient Boosting,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8521739130434782,0.8244755244755245,0.02183923118003048
K-Nearest Neighbors,0.8044692737430168,0.8035714285714286,0.6521739130434783,0.72,0.8469038208168644,0.8048261597557372,0.01740565990411434
Random Forest,0.7821229050279329,0.734375,0.6811594202898551,0.706766917293233,0.8219367588932808,0.8090022653402936,0.011829282581284583
Decision Tree,0.7430167597765364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.716798418972332,0.7823303457106274,0.018989783079598643
